,director,films_count,popularity
857,Jean-Pierre Jeunet,5,30.507820199999998
409,Darren Lynn Bousman,5,22.2259004
1835,Stephen Daldry,5,24.2019038
1968,Tom Tykwer,5,32.62386
1633,Richard LaGravenese,5,18.844297599999997
1535,Peter Chelsom,5,9.810677
1634,Richard Lester,5,15.1022878
1520,Paul Weitz,5,17.937401599999998
1517,Paul Verhoeven,5,31.706570399999997
1858,Steve Miner,5,11.586500599999999
440,David Koepp,5,25.4136324
702,Guillermo del Toro,5,64.112343
825,Jan de Bont,5,36.226086
594,Francis Lawrence,5,97.927112
947,John Frankenheimer,5,14.089080200000001
950,John Glen,5,26.1015102
446,David Lynch,5,24.6874674
598,Frank Capra,5,14.759771599999999
961,John Landis,5,25.4528356
836,Jason Reitman,5,23.273149
966,John Madden,5,18.912800800000003
833,Jason Friedberg,5,12.0352716
1700,Rod Lurie,5,7.40111
1659,Rob Marshall,5,51.8972998
645,Gavin O'Connor,5,17.3983816
642,Gary Winick,5,22.8357422
1399,Mira Nair,5,4.691716000000001
1319,Michael Apted,5,21.604074
72,Andrew Adamson,5,48.3953898
1207,Luc Besson,5,55.6428218
1179,Les Mayfield,5,10.276959199999999
49,Alexander Payne,5,25.390973000000002
158,Ben Stiller,5,36.2830606
45,Alex Proyas,5,53.7759506
103,Anne Fletcher,5,29.1914918
1153,Larry Charles,5,17.690102200000002
1167,Lee Tamahori,5,28.6586998
1165,Lawrence Kasdan,5,11.6494344
1386,Mike Leigh,5,6.4222132
1348,Michael Moore,5,11.101905599999998
2036,Wayne Wang,5,8.0932174
173,Bill Condon,5,29.365684599999998
88,Andrzej Bartkowiak,5,16.517901000000002
1121,Kevin Reynolds,5,24.0571414
1106,Kenny Ortega,5,18.7608964
83,Andrew Niccol,5,43.8630558
1137,Kirk Jones,5,17.7141076
419,David Bowers,4,18.787005999999998
865,Jeff Nichols,4,18.859911
183,Billy Wilder,4,18.305099
1817,Sofia Coppola,4,25.9601135
1820,Spike Jonze,4,34.814291250000004
850,Jean-Jacques Annaud,4,18.406445249999997
425,David Dobkin,4,23.7400795
867,Jeff Tremaine,4,18.534159
1815,Simon Wincer,4,9.83436025
2025,Walt Becker,4,27.100793
431,David Frankel,4,34.307830749999994
2026,Walter Hill,4,12.11322375
843,Jay Chandrasekhar,4,12.30504675
840,Jaume Balagueró,4,17.37754475
1367,Michel Gondry,4,26.886406
112,Anthony Russo,4,73.19519000000001
