,title,release_date,popularity,ROI,rating,orginal_title,renew,reboot
142,Ghost Rider,2007.0,46.834704,107.94399363636364,5.582934558813374,Ghost Rider,,0.0
143,Ghost Rider,2011.0,48.622278,161.78483333333332,5.424331922856997,Ghost Rider: Spirit of Vengeance,,0.0
144,Girl,2002.0,9.799177,110.70155,6.19152335616778,The Good Girl,,0.0
145,Girl,2003.0,3.65924,193.94717952881302,6.198764121706053,All the Real Girls,,0.0
146,Girl,2003.0,19.944479,31.361190698986306,6.258209706687133,Girl with a Pearl Earring,,1.0
147,Girl,2003.0,7.057765,193.9473307553153,6.101597497491211,What a Girl Wants,,1.0
148,Gremlins,1984.0,45.072136,1291.6645636363637,6.6251191426464615,Gremlins,,0.0
149,Gremlins,1990.0,33.98637,-17.035586,6.204503672997966,Gremlins 2: The New Batch,,0.0
150,Grown Ups,2010.0,38.864027,239.28773625000002,6.079007350795839,Grown Ups,,0.0
151,Grown Ups,2013.0,45.589568,208.73034750000002,5.993952494985278,Grown Ups 2,,0.0
152,Halloween,1988.0,9.302349,255.37514,6.156286935220443,Halloween 4: The Return of Michael Myers,,0.0
153,Halloween,1989.0,8.008844,132.84508,6.057798257455423,Halloween 5: The Revenge of Michael Myers,,0.0
155,Halloween,1995.0,9.483717,202.33268,6.039069878231588,Halloween: The Curse of Michael Myers,,0.0
156,Hellboy,2004.0,47.479755,50.48331363636363,6.406157328684744,Hellboy,,0.0
157,Hellboy,2008.0,58.57976,88.69183882352941,6.38073932923653,Hellboy II: The Golden Army,,0.0
158,High School Musical,2006.0,16.536374,164.29308274447095,6.154958659240263,High School Musical,,0.0
159,High School Musical,2007.0,21.01755,-64.52803702617784,6.1595167730811085,High School Musical 2,,0.0
161,High School Musical,2008.0,21.801188,193.94753354433993,6.2040968741007685,High School Musical 3: Senior Year,,0.0
162,Highlander,1986.0,29.253833,-63.125,6.428234917229712,Highlander,,0.0
163,Highlander,1994.0,7.964450999999999,41.53846153846154,6.045401078829774,Highlander: The Final Dimension,,0.0
165,Highlander,2000.0,11.782725,-36.625567999999994,6.044423961388682,Highlander: Endgame,,0.0
166,Home Alone,1990.0,2.186927,2548.2481944444444,6.829406827783641,Home Alone,,0.0
167,Home Alone,1992.0,81.487685,1894.3982277777777,6.271746081695947,Home Alone 2: Lost in New York,,0.0
168,Horrible Bosses,2011.0,50.309843,234.2857142857143,6.407624061148944,Horrible Bosses,,0.0
169,Horrible Bosses,2014.0,82.185281,156.35799285714285,6.143567382615057,Horrible Bosses 2,,0.0
170,Hostel,2005.0,38.83192,1578.7277916666667,5.974994967187682,Hostel,,0.0
171,Hostel,2007.0,20.745052,249.21099019607846,6.0242616443396795,Hostel: Part II,,0.0
172,Hot Tub Time Machine,2010.0,33.926473,79.36739444444444,6.111967721935462,Hot Tub Time Machine,,0.0
173,Hot Tub Time Machine,2015.0,16.618873999999998,-12.038207142857143,5.9028954782354255,Hot Tub Time Machine 2,,0.0
174,Hotel Transylvania,2012.0,56.257411,321.61835647058825,6.627894151394507,Hotel Transylvania,,0.0
175,Hotel Transylvania,2015.0,61.692197,491.53369749999996,6.496884668803508,Hotel Transylvania 2,,0.0
176,How to Train Your Dragon,2010.0,67.263269,199.9265206060606,7.242782878802831,How to Train Your Dragon,,0.0
177,How to Train Your Dragon,2014.0,100.21391,320.08486068965516,7.248138895919764,How to Train Your Dragon 2,,0.0
178,Ice Age,2002.0,99.561972,549.5883661016949,6.908980079772272,Ice Age,,0.0
179,Ice Age,2006.0,85.11505799999998,726.175975,6.423185516481515,Ice Age: The Meltdown,,0.0
181,Ice Age,2009.0,69.457898,885.2075744444445,6.407457166950478,Ice Age: Dawn of the Dinosaurs,,0.0
183,Ice Age,2012.0,65.22986800000001,823.4155599999999,6.2020594442349655,Ice Age: Continental Drift,,0.0
184,Insidious,2010.0,58.594852,6367.276666666667,6.576700843718169,Insidious,,0.0
185,Insidious,2013.0,48.375848,169.63534239500652,6.364071318638893,Insidious: Chapter 2,,0.0
